66.249.64.211|POST /wp-admin/admin-ajax.php HTTP/1.1|Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)|Googlebot|POST|/wp-admin/admin-ajax.php|200|2017-12-10T21:11:44+00:00|"http://www.espacioperinatal.com/la-mente-de-los-bebes-que-piensan/"
66.249.64.211|POST /wp-admin/admin-ajax.php HTTP/1.1|Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)|Googlebot|POST|/wp-admin/admin-ajax.php|200|2017-12-10T21:11:46+00:00|"http://www.espacioperinatal.com/la-mente-de-los-bebes-que-piensan/"
2.152.89.195|GET /wp-content/uploads/2016/02/El-milagro-de-la-vida.jpg HTTP/1.1|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36|Chrome|GET|/wp-content/uploads/2016/02/El-milagro-de-la-vida.jpg|200|2017-12-10T21:11:52+00:00|"http://www.espacioperinatal.com/rene-spitz-las-enfermedades-psicogenicas/"
2.152.89.195|GET /wp-content/uploads/2014/06/pregnant-1207238_640.jpg HTTP/1.1|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36|Chrome|GET|/wp-content/uploads/2014/06/pregnant-1207238_640.jpg|200|2017-12-10T21:11:52+00:00|"http://www.espacioperinatal.com/rene-spitz-las-enfermedades-psicogenicas/"
2.152.89.195|POST /wp-admin/admin-ajax.php?0.9323246834229624 HTTP/1.1|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36|Chrome|POST|/wp-admin/admin-ajax.php?0.9323246834229624|200|2017-12-10T21:11:51+00:00|"http://www.espacioperinatal.com/rene-spitz-las-enfermedades-psicogenicas/"
2.152.89.195|GET /wp-content/themes/Extra/images/star-full.svg HTTP/1.1|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36|Chrome|GET|/wp-content/themes/Extra/images/star-full.svg|200|2017-12-10T21:11:54+00:00|"http://www.espacioperinatal.com/rene-spitz-las-enfermedades-psicogenicas/"
2.152.89.195|POST /wp-admin/admin-ajax.php HTTP/1.1|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36|Chrome|POST|/wp-admin/admin-ajax.php|200|2017-12-10T21:11:53+00:00|"http://www.espacioperinatal.com/rene-spitz-las-enfermedades-psicogenicas/"
2.152.89.195|POST /wp-admin/admin-ajax.php HTTP/1.1|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36|Chrome|POST|/wp-admin/admin-ajax.php|200|2017-12-10T21:11:53+00:00|"http://www.espacioperinatal.com/rene-spitz-las-enfermedades-psicogenicas/"
2.152.89.195|POST /wp-admin/admin-ajax.php HTTP/1.1|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36|Chrome|POST|/wp-admin/admin-ajax.php|200|2017-12-10T21:11:53+00:00|"http://www.espacioperinatal.com/rene-spitz-las-enfermedades-psicogenicas/"
2.152.89.195|POST /wp-admin/admin-ajax.php HTTP/1.1|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36|Chrome|POST|/wp-admin/admin-ajax.php|200|2017-12-10T21:11:53+00:00|"http://www.espacioperinatal.com/rene-spitz-las-enfermedades-psicogenicas/"
